date,value
"2020-04-11",-37
"2020-04-10",-37
"2020-04-09",-33
"2020-04-08",-33
"2020-04-07",-31
"2020-04-06",-32
"2020-04-05",-42
"2020-04-04",-45
"2020-04-03",-38
"2020-04-02",-35
"2020-04-01",-33
"2020-03-31",-28
"2020-03-30",-28
"2020-03-29",-37
"2020-03-28",-30
"2020-03-27",-30
"2020-03-26",-28
"2020-03-25",-28
"2020-03-24",-27
"2020-03-23",-24
"2020-03-22",-29
"2020-03-21",-19
"2020-03-20",-13
"2020-03-19",-10
"2020-03-18",-9
"2020-03-17",-9
"2020-03-16",-8
"2020-03-15",-7
"2020-03-14",-5
"2020-03-13",-5
"2020-03-12",-5
"2020-03-11",-5
"2020-03-10",-6
"2020-03-09",-6
"2020-03-08",-2
"2020-03-07",-2
"2020-03-06",-6
"2020-03-05",-5
"2020-03-04",-3
"2020-03-03",-4
"2020-03-02",-7
"2020-03-01",-7
"2020-02-29",-6
"2020-02-28",-6
"2020-02-27",-8
"2020-02-26",-7
"2020-02-25",-8
"2020-02-24",-8
"2020-02-23",-12
"2020-02-22",-19
"2020-02-21",-30
"2020-02-20",-9
"2020-02-19",-9
"2020-02-18",-9
"2020-02-17",-6
"2020-02-16",-6
