date,value
"2020-04-11",10
"2020-04-10",20
"2020-04-09",17
"2020-04-08",17
"2020-04-07",17
"2020-04-06",16
"2020-04-05",10
"2020-04-04",11
"2020-04-03",18
"2020-04-02",16
"2020-04-01",16
"2020-03-31",18
"2020-03-30",15
"2020-03-29",8
"2020-03-28",9
"2020-03-27",16
"2020-03-26",15
"2020-03-25",15
"2020-03-24",17
"2020-03-23",15
"2020-03-22",9
"2020-03-21",8
"2020-03-20",12
"2020-03-19",10
"2020-03-18",9
"2020-03-17",8
"2020-03-16",6
"2020-03-15",4
"2020-03-14",2
"2020-03-13",2
"2020-03-12",1
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-2
"2020-03-06",-2
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",1
"2020-03-01",0
"2020-02-29",-3
"2020-02-28",-2
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",2
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",1
"2020-02-19",2
"2020-02-18",0
"2020-02-17",1
"2020-02-16",4
