date,value
"2020-04-05",-9
"2020-04-04",-30
"2020-04-03",-34
"2020-04-02",-35
"2020-04-01",-35
"2020-03-31",-35
"2020-03-30",-34
"2020-03-29",-10
"2020-03-28",-24
"2020-03-27",-34
"2020-03-26",-35
"2020-03-25",-34
"2020-03-24",-32
"2020-03-23",-27
"2020-03-22",-10
"2020-03-21",-12
"2020-03-20",-16
"2020-03-19",-16
"2020-03-18",-15
"2020-03-17",-14
"2020-03-16",-13
"2020-03-15",-2
"2020-03-14",2
"2020-03-13",3
"2020-03-12",3
"2020-03-11",3
"2020-03-10",3
"2020-03-09",4
"2020-03-08",5
"2020-03-07",4
"2020-03-06",3
"2020-03-05",2
"2020-03-04",1
"2020-03-03",2
"2020-03-02",4
"2020-03-01",5
"2020-02-29",4
"2020-02-28",4
"2020-02-27",3
"2020-02-26",2
"2020-02-25",1
"2020-02-24",0
"2020-02-23",2
"2020-02-22",2
"2020-02-21",2
"2020-02-20",3
"2020-02-19",1
"2020-02-18",2
"2020-02-17",2
"2020-02-16",2
