date,value
"2020-04-11",-25
"2020-04-10",-30
"2020-04-09",-24
"2020-04-08",-26
"2020-04-07",-20
"2020-04-06",-17
"2020-04-05",-18
"2020-04-04",-19
"2020-04-03",-23
"2020-04-02",-17
"2020-04-01",-20
"2020-03-31",-21
"2020-03-30",-18
"2020-03-29",-14
"2020-03-28",-2
"2020-03-27",-12
"2020-03-26",-5
"2020-03-25",-9
"2020-03-24",-14
"2020-03-23",-2
"2020-03-22",-8
"2020-03-21",-2
"2020-03-20",0
"2020-03-19",3
"2020-03-18",4
"2020-03-17",4
"2020-03-16",5
"2020-03-15",3
"2020-03-14",5
"2020-03-13",5
"2020-03-12",3
"2020-03-11",4
"2020-03-10",6
"2020-03-09",6
"2020-03-08",8
"2020-03-07",9
"2020-03-06",3
"2020-03-05",1
"2020-03-04",5
"2020-03-03",5
"2020-03-02",5
"2020-03-01",7
"2020-02-29",8
"2020-02-28",6
"2020-02-27",1
"2020-02-26",1
"2020-02-25",1
"2020-02-24",0
"2020-02-23",1
"2020-02-22",3
"2020-02-21",-1
"2020-02-20",-3
"2020-02-19",-6
"2020-02-18",-8
"2020-02-17",-1
"2020-02-16",-2
