date,value
"2020-04-05",-6
"2020-04-04",-8
"2020-04-03",-5
"2020-04-02",-5
"2020-04-01",-9
"2020-03-31",-9
"2020-03-30",-9
"2020-03-29",0
"2020-03-28",6
"2020-03-27",6
"2020-03-26",3
"2020-03-25",3
"2020-03-24",-5
"2020-03-23",1
"2020-03-22",-1
"2020-03-21",1
"2020-03-20",4
"2020-03-19",3
"2020-03-18",5
"2020-03-17",5
"2020-03-16",2
"2020-03-15",0
"2020-03-14",1
"2020-03-13",1
"2020-03-12",2
"2020-03-11",2
"2020-03-10",3
"2020-03-09",3
"2020-03-08",3
"2020-03-07",4
"2020-03-06",3
"2020-03-05",1
"2020-03-04",4
"2020-03-03",3
"2020-03-02",2
"2020-03-01",3
"2020-02-29",4
"2020-02-28",5
"2020-02-27",6
"2020-02-26",5
"2020-02-25",4
"2020-02-24",6
"2020-02-23",5
"2020-02-22",5
"2020-02-21",6
"2020-02-20",6
"2020-02-19",2
"2020-02-18",0
"2020-02-17",0
"2020-02-16",1
