date,value
"2020-04-05",29
"2020-04-04",38
"2020-04-03",33
"2020-04-02",33
"2020-04-01",32
"2020-03-31",30
"2020-03-30",30
"2020-03-29",19
"2020-03-28",25
"2020-03-27",32
"2020-03-26",33
"2020-03-25",32
"2020-03-24",31
"2020-03-23",22
"2020-03-22",14
"2020-03-21",16
"2020-03-20",18
"2020-03-19",13
"2020-03-18",10
"2020-03-17",8
"2020-03-16",6
"2020-03-15",2
"2020-03-14",0
"2020-03-13",-1
"2020-03-12",0
"2020-03-11",0
"2020-03-10",0
"2020-03-09",1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",0
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",2
"2020-02-22",0
"2020-02-21",1
"2020-02-20",1
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",0
