date,value
"2020-04-11",-91
"2020-04-10",-83
"2020-04-09",-80
"2020-04-08",-80
"2020-04-07",-81
"2020-04-06",-81
"2020-04-05",-82
"2020-04-04",-83
"2020-04-03",-82
"2020-04-02",-83
"2020-04-01",-81
"2020-03-31",-82
"2020-03-30",-81
"2020-03-29",-84
"2020-03-28",-86
"2020-03-27",-85
"2020-03-26",-85
"2020-03-25",-86
"2020-03-24",-83
"2020-03-23",-83
"2020-03-22",-83
"2020-03-21",-85
"2020-03-20",-83
"2020-03-19",-81
"2020-03-18",-80
"2020-03-17",-69
"2020-03-16",-33
"2020-03-15",-29
"2020-03-14",-24
"2020-03-13",-13
"2020-03-12",-5
"2020-03-11",-2
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",4
"2020-03-07",3
"2020-03-06",-1
"2020-03-05",0
"2020-03-04",2
"2020-03-03",3
"2020-03-02",3
"2020-03-01",0
"2020-02-29",-4
"2020-02-28",-2
"2020-02-27",-2
"2020-02-26",-4
"2020-02-25",-11
"2020-02-24",-22
"2020-02-23",-12
"2020-02-22",1
"2020-02-21",-4
"2020-02-20",1
"2020-02-19",4
"2020-02-18",3
"2020-02-17",4
"2020-02-16",3
