date,value
"2020-04-11",-41
"2020-04-10",-56
"2020-04-09",-57
"2020-04-08",-57
"2020-04-07",-57
"2020-04-06",-54
"2020-04-05",-37
"2020-04-04",-43
"2020-04-03",-56
"2020-04-02",-58
"2020-04-01",-58
"2020-03-31",-58
"2020-03-30",-57
"2020-03-29",-37
"2020-03-28",-42
"2020-03-27",-53
"2020-03-26",-55
"2020-03-25",-55
"2020-03-24",-53
"2020-03-23",-51
"2020-03-22",-43
"2020-03-21",-41
"2020-03-20",-49
"2020-03-19",-51
"2020-03-18",-52
"2020-03-17",-48
"2020-03-16",-38
"2020-03-15",-22
"2020-03-14",-9
"2020-03-13",-14
"2020-03-12",-18
"2020-03-11",-17
"2020-03-10",-5
"2020-03-09",1
"2020-03-08",4
"2020-03-07",7
"2020-03-06",-1
"2020-03-05",-8
"2020-03-04",-2
"2020-03-03",5
"2020-03-02",6
"2020-03-01",7
"2020-02-29",7
"2020-02-28",4
"2020-02-27",5
"2020-02-26",4
"2020-02-25",5
"2020-02-24",3
"2020-02-23",-1
"2020-02-22",6
"2020-02-21",3
"2020-02-20",4
"2020-02-19",4
"2020-02-18",4
"2020-02-17",5
"2020-02-16",4
